Date,Value
03-Feb-14,365.37
31-Jan-14,382.765
30-Jan-14,392.96500000000003
29-Jan-14,389.78
28-Jan-14,388.95
27-Jan-14,394.33000000000004
24-Jan-14,399.58000000000004
23-Jan-14,404.5
22-Jan-14,405.5
21-Jan-14,398.63
17-Jan-14,393.97
16-Jan-14,396.31
15-Jan-14,395.53499999999997
14-Jan-14,395.055
13-Jan-14,400.255
10-Jan-14,403.12
09-Jan-14,401.09000000000003
08-Jan-14,396.755
07-Jan-14,395.44500000000005
06-Jan-14,397.07000000000005
03-Jan-14,398.545
02-Jan-14,396.69
31-Dec-13,396.995
30-Dec-13,402.03
27-Dec-13,403.22
26-Dec-13,402.155
24-Dec-13,403.105
23-Dec-13,400.265
20-Dec-13,395.6
19-Dec-13,391.96000000000004
18-Dec-13,390.28
17-Dec-13,388.25
16-Dec-13,385.06
13-Dec-13,383.08500000000004
12-Dec-13,384.63
11-Dec-13,385.605
10-Dec-13,385.855
09-Dec-13,388.28
06-Dec-13,387.5
05-Dec-13,385.075
04-Dec-13,386.805
03-Dec-13,394.555
02-Dec-13,394.05
29-Nov-13,386.3
27-Nov-13,380.555
26-Nov-13,375.71500000000003
25-Nov-13,371.90999999999997
22-Nov-13,367.025
21-Nov-13,365.805
20-Nov-13,366.69
19-Nov-13,368.04999999999995
18-Nov-13,368.955
15-Nov-13,362.51
14-Nov-13,352.395
13-Nov-13,350.195
12-Nov-13,351.78999999999996
11-Nov-13,348.27
08-Nov-13,350.905
07-Nov-13,358.155
06-Nov-13,358.615
05-Nov-13,358.45
04-Nov-13,362.875
01-Nov-13,363.68
31-Oct-13,362.175
30-Oct-13,360.78999999999996
29-Oct-13,359.44
28-Oct-13,359.26
25-Oct-13,344.115
24-Oct-13,330.235
23-Oct-13,329.28
22-Oct-13,328.805
21-Oct-13,324.625
18-Oct-13,313.21500000000003
17-Oct-13,307.725
16-Oct-13,309.125
15-Oct-13,309.545
14-Oct-13,306.995
11-Oct-13,304.7
10-Oct-13,304.025
09-Oct-13,307.46000000000004
08-Oct-13,313.37
07-Oct-13,315.185
04-Oct-13,317.76
03-Oct-13,319.21500000000003
02-Oct-13,316.13
01-Oct-13,313.81500000000005
30-Sep-13,315.165
27-Sep-13,315.40999999999997
26-Sep-13,314.215
25-Sep-13,313.48
24-Sep-13,313.22
23-Sep-13,313.275
20-Sep-13,313.155
19-Sep-13,308.91499999999996
18-Sep-13,300.845
17-Sep-13,298.725
16-Sep-13,299.98
13-Sep-13,299.765
12-Sep-13,299.15
11-Sep-13,299.73
10-Sep-13,298.885
09-Sep-13,296.275
06-Sep-13,294.48
05-Sep-13,290.98
04-Sep-13,286.53
03-Sep-13,284.65999999999997
30-Aug-13,283.02
29-Aug-13,280.905
28-Aug-13,282.115
27-Aug-13,287.15
26-Aug-13,290.82
23-Aug-13,288.005
22-Aug-13,284.945
21-Aug-13,285.485
20-Aug-13,285.53499999999997
19-Aug-13,285.87
16-Aug-13,287.67
15-Aug-13,291.54
14-Aug-13,295.08500000000004
13-Aug-13,295.83500000000004
12-Aug-13,295.735
09-Aug-13,297.1
08-Aug-13,299.335
07-Aug-13,300.33
06-Aug-13,301.955
05-Aug-13,304.015
02-Aug-13,303.855
01-Aug-13,303.495
31-Jul-13,305.81500000000005
30-Jul-13,309.395
29-Jul-13,305.31
26-Jul-13,299.275
25-Jul-13,301.01
24-Jul-13,303.09000000000003
23-Jul-13,306.20500000000004
22-Jul-13,306.82
19-Jul-13,305.33
18-Jul-13,306.62
17-Jul-13,307.135
16-Jul-13,307.28499999999997
15-Jul-13,302.98
12-Jul-13,296.84000000000003
11-Jul-13,293.20000000000005
10-Jul-13,291.20500000000004
09-Jul-13,288.71000000000004
08-Jul-13,285.71000000000004
05-Jul-13,283.5
03-Jul-13,281.52
02-Jul-13,280.02
01-Jul-13,277.595
28-Jun-13,277.685
27-Jun-13,276.58000000000004
26-Jun-13,273.14
25-Jun-13,271.795
24-Jun-13,272.93
21-Jun-13,274.855
20-Jun-13,278.2
19-Jun-13,280.16999999999996
18-Jun-13,277.71500000000003
17-Jun-13,275.675
14-Jun-13,273.25
13-Jun-13,274.05
12-Jun-13,276.3
11-Jun-13,276.34000000000003
10-Jun-13,273.21000000000004
07-Jun-13,268.745
06-Jun-13,266.78
05-Jun-13,266.405
04-Jun-13,266.19
03-Jun-13,265.69
31-May-13,265.855
30-May-13,265.585
29-May-13,265.97
28-May-13,263.165
24-May-13,260.17
23-May-13,263.94
22-May-13,268.065
21-May-13,268.87
20-May-13,267.41499999999996
17-May-13,265.895
16-May-13,266.515
15-May-13,265.78499999999997
14-May-13,263.635
13-May-13,261.825
10-May-13,259.805
09-May-13,257.8
08-May-13,256.59000000000003
07-May-13,257.2
06-May-13,257.115
03-May-13,252.54
02-May-13,251.42000000000002
01-May-13,251.635
30-Apr-13,252.135
29-Apr-13,262.435
26-Apr-13,270.75
25-Apr-13,270.515
24-Apr-13,267.0
23-Apr-13,261.925
22-Apr-13,258.755
19-Apr-13,262.485
18-Apr-13,268.805
17-Apr-13,270.055
16-Apr-13,270.195
15-Apr-13,270.6
12-Apr-13,267.43
11-Apr-13,263.26
10-Apr-13,260.315
09-Apr-13,257.385
08-Apr-13,255.82
05-Apr-13,257.475
04-Apr-13,260.675
03-Apr-13,262.26
02-Apr-13,264.69
01-Apr-13,266.4
